"x"
"Consumption"
"GDP|MER"
"GDP|PPP"
"Energy Investments"
"Investments|Non-ESM"
"Population"
"Capital Stock|Non-ESM"
"Investments"
"CES_input|feelt"
"CES_input|fepet"
"CES_input|fedie"
"CES_input|feelb"
"CES_input|fegab"
"CES_input|fehob"
"CES_input|fesob"
"CES_input|feheb"
"CES_input|feh2b"
"CES_input|feeli"
"CES_input|fegai"
"CES_input|fehoi"
"CES_input|fesoi"
"CES_input|fehei"
"CES_input|feh2i"
"Damage factor"
"Interest Rate (t+1)/(t-1)|Real"
"Interest Rate t/(t-1)|Real"
"Trade|Coal"
"Trade|Imports|Coal"
"Trade|Exports|Coal"
"Trade|Gas"
"Trade|Imports|Gas"
"Trade|Exports|Gas"
"Trade|Oil"
"Trade|Imports|Oil"
"Trade|Exports|Oil"
"Trade|Uranium|Mass"
"Trade|Uranium|seelEquivalent"
"Trade|Imports|Uranium"
"Trade|Exports|Uranium"
"Trade|Goods"
"Trade|Imports|Goods"
"Trade|Exports|Goods"
"Trade|Biomass"
"Trade|Imports|Biomass"
"Trade|Exports|Biomass"
"Trade|Emi Allowances|Volume"
"Subsidies"
"PE|Fossil"
"PE|Fossil|w/ CCS"
"PE|Fossil|w/o CCS"
"PE|Coal"
"PE|Coal|w/ CCS"
"PE|Coal|w/o CCS"
"PE|Oil"
"PE|Oil|w/o CCS"
"PE|Gas"
"PE|Gas|w/ CCS"
"PE|Gas|w/o CCS"
"PE|Biomass"
"PE|Biomass|w/ CCS"
"PE|Biomass|w/o CCS"
"PE|Biomass|Traditional"
"PE|Biomass|1st Generation"
"PE|Biomass|Modern"
"PE|Nuclear"
"PE|Non-Biomass Renewables"
"PE|Hydro"
"PE|Wind"
"PE|Solar"
"PE|Geothermal"
"PE|Biomass|Electricity"
"PE|Biomass|Electricity|w/ CCS"
"PE|Biomass|Electricity|w/o CCS"
"PE|Biomass|Gases"
"PE|Biomass|Hydrogen"
"PE|Biomass|Hydrogen|w/ CCS"
"PE|Biomass|Hydrogen|w/o CCS"
"PE|Biomass|Liquids"
"PE|Biomass|Liquids|w/ CCS"
"PE|Biomass|Liquids|w/o CCS"
"PE|Biomass|Liquids|Cellulosic"
"PE|Biomass|Liquids|Cellulosic|w/ CCS"
"PE|Biomass|Liquids|Cellulosic|w/o CCS"
"PE|Biomass|Liquids|Non-Cellulosic"
"PE|Biomass|Liquids|Conventional Ethanol"
"PE|Biomass|Liquids|Biodiesel"
"PE|Biomass|Liquids|Biodiesel|w/ CCS"
"PE|Biomass|Liquids|Biodiesel|w/o CCS"
"PE|Biomass|Solids"
"PE|Biomass|Heat"
"PE|Coal|Electricity"
"PE|Coal|Electricity|w/ CCS"
"PE|Coal|Electricity|w/o CCS"
"PE|Coal|Gases"
"PE|Coal|Gases|w/ CCS"
"PE|Coal|Gases|w/o CCS"
"PE|Coal|Liquids"
"PE|Coal|Liquids|w/ CCS"
"PE|Coal|Liquids|w/o CCS"
"PE|Coal|Hydrogen"
"PE|Coal|Hydrogen|w/ CCS"
"PE|Coal|Hydrogen|w/o CCS"
"PE|Coal|Heat"
"PE|Coal|Solids"
"PE|Gas|Electricity"
"PE|Gas|Electricity|w/ CCS"
"PE|Gas|Electricity|w/o CCS"
"PE|Gas|Gases"
"PE|Gas|Liquids"
"PE|Gas|Liquids|w/ CCS"
"PE|Gas|Liquids|w/o CCS"
"PE|Gas|Heat"
"PE|Gas|Hydrogen"
"PE|Gas|Hydrogen|w/ CCS"
"PE|Gas|Hydrogen|w/o CCS"
"PE|Solar|Electricity"
"PE"
"PE|Biomass|Residues"
"PE|Production|Biomass|1st Generation"
"PE|Biomass|Energy Crops"
"SE"
"SE|Biomass"
"SE|Electricity"
"SE|Electricity|Biomass"
"SE|Electricity|Biomass|w/ CCS"
"SE|Electricity|Biomass|w/o CCS"
"SE|Electricity|Coal"
"SE|Electricity|Coal|w/ CCS"
"SE|Electricity|Coal|w/o CCS"
"SE|Electricity|Coal|IGCC|w/o CCS"
"SE|Electricity|Coal|PC|w/o CCS"
"SE|Electricity|Gas"
"SE|Electricity|Gas|w/ CCS"
"SE|Electricity|Gas|w/o CCS"
"SE|Electricity|Gas|CC|w/o CCS"
"SE|Electricity|Gas|GT"
"SE|Electricity|Hydrogen"
"SE|Electricity|Oil"
"SE|Electricity|Oil|w/o CCS"
"SE|Electricity|Light Fuel Oil"
"SE|Electricity|Non-Biomass Renewables"
"SE|Electricity|Nuclear"
"SE|Electricity|Geothermal"
"SE|Electricity|Hydro"
"SE|Electricity|Solar"
"SE|Electricity|Solar|CSP"
"SE|Electricity|Solar|PV"
"SE|Electricity|Wind"
"SE|Electricity|WindSolar"
"SE|Electricity|Curtailment|Solar"
"SE|Electricity|Curtailment|Solar|CSP"
"SE|Electricity|Curtailment|Solar|PV"
"SE|Electricity|Curtailment|Wind"
"SE|Electricity|Curtailment|WindSolar"
"SE|Gases"
"SE|Gases|Biomass"
"SE|Gases|Natural Gas"
"SE|Gases|Coal"
"SE|Gases|Biomass|w/ CCS"
"SE|Gases|Biomass|w/o CCS"
"SE|Gases|Coal|w/ CCS"
"SE|Gases|Coal|w/o CCS"
"SE|Heat"
"SE|Heat|Biomass"
"SE|Heat|Coal"
"SE|Heat|Gas"
"SE|Heat|Geothermal"
"SE|Hydrogen"
"SE|Hydrogen|Biomass"
"SE|Hydrogen|Biomass|w/ CCS"
"SE|Hydrogen|Biomass|w/o CCS"
"SE|Hydrogen|Coal"
"SE|Hydrogen|Coal|w/ CCS"
"SE|Hydrogen|Coal|w/o CCS"
"SE|Hydrogen|Gas"
"SE|Hydrogen|Gas|w/ CCS"
"SE|Hydrogen|Gas|w/o CCS"
"SE|Hydrogen|Electricity"
"SE|Hydrogen|Fossil"
"SE|Hydrogen|Fossil|w/ CCS"
"SE|Hydrogen|Fossil|w/o CCS"
"SE|Liquids"
"SE|Liquids|Biomass"
"SE|Liquids|Biomass|w/ CCS"
"SE|Liquids|Biomass|w/o CCS"
"SE|Liquids|Biomass|Cellulosic"
"SE|Liquids|Biomass|Cellulosic|w/ CCS"
"SE|Liquids|Biomass|Cellulosic|w/o CCS"
"SE|Liquids|Biomass|Non-Cellulosic"
"SE|Liquids|Biomass|Conventional Ethanol"
"SE|Liquids|Biomass|Biodiesel"
"SE|Liquids|Biomass|Biodiesel|w/ CCS"
"SE|Liquids|Biomass|Biodiesel|w/o CCS"
"SE|Liquids|Coal"
"SE|Liquids|Coal|w/ CCS"
"SE|Liquids|Coal|w/o CCS"
"SE|Liquids|Gas"
"SE|Liquids|Gas|w/ CCS"
"SE|Liquids|Gas|w/o CCS"
"SE|Liquids|Fossil"
"SE|Liquids|Fossil|w/ CCS"
"SE|Liquids|Fossil|w/o CCS"
"SE|Liquids|Fossil|w/ oil"
"SE|Liquids|Fossil|w/ oil|w/o CCS"
"SE|Liquids|Oil"
"SE|Solids"
"SE|Solids|Coal"
"SE|Solids|Biomass"
"SE|Solids|Traditional Biomass"
"FE|Buildings|Electricity"
"FE|Buildings|Gases"
"FE|Buildings|Solids"
"FE|Buildings|Liquids"
"FE|Buildings|Hydrogen"
"FE|Buildings|Heat"
"FE|Buildings"
"FE|Industry|Electricity"
"FE|Industry|Gases"
"FE|Industry|Solids"
"FE|Industry|Liquids"
"FE|Industry|Hydrogen"
"FE|Industry|Heat"
"FE|Industry"
"FE|Buildings and Industry"
"FE|Solids"
"FE|Liquids"
"FE|Gases"
"FE|Electricity"
"FE|Hydrogen"
"FE|Heat"
"FE|Transport"
"FE|Transport|Electricity"
"FE|Transport|Hydrogen"
"FE|Transport|Liquids"
"FE|Transport|Diesel"
"FE|Transport|Petrol"
"FE|Transport|Pass|Train|Electricity"
"FE|Transport|Pass|Road|LDV"
"FE|Transport|Pass|Road|LDV|Hydrogen"
"FE|Transport|Pass|Road|LDV|Liquids"
"FE|Transport|Pass|Road|LDV|Electricity"
"FE|Transport|non-LDV"
"ES|Transport|Pass|LDV"
"FE|Solids|Biomass"
"FE|Solids|Biomass|Modern"
"FE|Solids|Biomass|Traditional"
"FE|Solids|Coal"
"FE|Transport|Pass|Electricity"
"FE|Transport|Pass|Hydrogen"
"FE|Transport|Pass|non-LDV"
"FE|Transport|Freight"
"FE|Buildings and Industry|Solids|Biomass"
"FE|Buildings and Industry|Solids|Biomass|Traditional"
"FE|Buildings and Industry|Solids|Coal"
"FE"
"Cap|Electricity|Peak Demand|Estimated from FE x 1p4 x 1p1"
"ES|Transport|Freight"
"ES|Transport|Pass|non-LDV"
"FE|Transport|Pass"
"ES|Transport|Pass"
"FE|Buildings|Solids|Biomass|Traditional"
"FE|Industry|Solids|Biomass|Traditional"
"FE|Buildings|Solids|Biomass|Modern"
"FE|Buildings|Solids|Coal"
"FE|Industry|Solids|Biomass|Modern"
"FE|Industry|Solids|Coal"
"FE|Buildings|Solids|Biomass"
"FE|Industry|Solids|Biomass"
"FE|CDR|DAC|Heat|H2"
"FE|CDR|DAC|Heat|Gas"
"FE|CDR|EW|Diesel"
"FE|CDR|EW|Electricity"
"FE|CDR|Electricity"
"FE|CDR|DAC|Heat"
"FE|CDR|DAC|Electricity"
"Res|Extraction|Coal"
"Res|Extraction|Oil"
"Res|Extraction|Gas"
"Res|Extraction|Uranium [Energy]"
"Res|Extraction|Uranium"
"Res|Average Supply Costs|Coal"
"Res|Average Supply Costs|Oil"
"Res|Average Supply Costs|Gas"
"Res|Average Supply Costs|Uranium"
"Primary Energy Production|Biomass|Energy Crops"
"Primary Energy Production|Biomass|Energy Crops MAgPIE"
"Res|Extraction|Coal|Cumulated "
"Res|Extraction|Oil|Cumulated "
"Res|Extraction|Gas|Cumulated "
"Res|Extraction|Uranium [Energy]|Cumulated "
"Res|Extraction|Uranium|Cumulated "
"PE|Production|Gross|Coal"
"PE|Production|Gross|Oil"
"PE|Production|Gross|Gas"
"PE|Production|Gross|Uranium [Energy]"
"PE|Production|Gross|Uranium"
"PE|Production|Net|Coal"
"PE|Production|Net|Oil"
"PE|Production|Net|Gas"
"PE|Production|Net|Uranium [Energy]"
"PE|Production|Net|Uranium"
"Res|Average Extraction Costs|Coal"
"Res|Average Extraction Costs|Oil"
"Res|Average Extraction Costs|Gas"
"Res|Average Extraction Costs|Uranium"
"Cap|Electricity|Coal|IGCC|w/ CCS"
"Cap|Electricity|Coal|IGCC|w/o CCS"
"Cap|Electricity|Coal|w/ CCS"
"Cap|Electricity|Gas|CC|w/ CCS"
"Cap|Electricity|Gas|CC|w/o CCS"
"Cap|Electricity|Gas|w/ CCS"
"Cap|Electricity|Coal|w/o CCS"
"Cap|Electricity|Gas|w/o CCS"
"Cap|Electricity|Biomass|w/ CCS"
"Cap|Electricity|Biomass|w/o CCS"
"Cap|Electricity|Solar|PV"
"Cap|Electricity|Solar|CSP"
"Cap|Electricity|Wind|Onshore"
"Cap|Electricity|Storage|Battery|For PV"
"Cap|Electricity|Storage|Battery|For Wind"
"Cap|Electricity|Storage|Battery"
"Cap|Electricity|Nuclear"
"Cap|Electricity|Solar"
"Cap|Electricity|Wind"
"Cap|Electricity|Hydro"
"Cap|Electricity|Oil|w/o CCS"
"Cap|Electricity|Coal"
"Cap|Electricity|Gas"
"Cap|Electricity|Biomass"
"Cap|Electricity|Geothermal"
"Cap|Electricity|Hydrogen"
"Cap|Electricity"
"Cap|Electricity|Estimated firm capacity counting hydro at 0p6"
"New Cap|Electricity|Gas"
"New Cap|Electricity|Coal"
"New Cap|Electricity|Biomass"
"New Cap|Electricity|Non-Biomass Renewables"
"New Cap|Electricity|Nuclear"
"New Cap|Electricity"
"New Cap|Electricity|Coal|IGCC|w/ CCS"
"New Cap|Electricity|Coal|IGCC|w/o CCS"
"New Cap|Electricity|Gas|CC|w/ CCS"
"New Cap|Electricity|Gas|CC|w/o CCS"
"New Cap|Electricity|Solar|PV"
"New Cap|Electricity|Solar|CSP"
"New Cap|Electricity|Wind"
"New Cap|Electricity|Hydro"
"New Cap|Electricity|Gas|w/ CCS"
"New Cap|Electricity|Gas|w/o CCS"
"New Cap|Electricity|Gas|CT"
"New Cap|Electricity|Hydrogen"
"New Cap|Electricity|Coal|w/ CCS"
"New Cap|Electricity|Coal|w/o CCS"
"New Cap|Electricity|Biomass|w/ CCS"
"New Cap|Electricity|Biomass|w/o CCS"
"New Cap|Electricity|Solar"
"New Cap|Electricity|Wind|Onshore"
"New Cap|Electricity|Storage|Battery|For PV"
"New Cap|Electricity|Storage|Battery|For Wind"
"New Cap|Hydrogen|Biomass"
"New Cap|Hydrogen|Electricity"
"New Cap|Hydrogen|Fossil"
"New Cap|Hydrogen"
"New Cap|Hydrogen|Biomass|w/ CCS"
"New Cap|Hydrogen|Biomass|w/o CCS"
"New Cap|Hydrogen|Fossil|w/ CCS"
"New Cap|Hydrogen|Fossil|w/o CCS"
"New Cap|Liquids"
"New Cap|Electricity|Storage|Battery"
"Idle Cap|Electricity|Coal|w/o CCS"
"Idle Cap|Electricity|Gas|w/o CCS"
"Idle Cap|Electricity|Oil|w/o CCS"
"Total Cap|Electricity|Coal|w/o CCS"
"Total Cap|Electricity|Gas|w/o CCS"
"Cumulative Cap|Electricity|Gas"
"Cumulative Cap|Electricity|Coal"
"Cumulative Cap|Electricity|Biomass"
"Cumulative Cap|Electricity|Non-Biomass Renewables"
"Cumulative Cap|Electricity|Nuclear"
"Cumulative Cap|Electricity"
"Cumulative Cap|Electricity|Coal|IGCC|w/ CCS"
"Cumulative Cap|Electricity|Coal|IGCC|w/o CCS"
"Cumulative Cap|Electricity|Gas|CC|w/ CCS"
"Cumulative Cap|Electricity|Gas|CC|w/o CCS"
"Cumulative Cap|Electricity|Solar|PV"
"Cumulative Cap|Electricity|Solar|CSP"
"Cumulative Cap|Electricity|Wind"
"Cumulative Cap|Electricity|Hydro"
"Cumulative Cap|Electricity|Gas|w/ CCS"
"Cumulative Cap|Electricity|Gas|w/o CCS"
"Cumulative Cap|Electricity|Gas|CT"
"Cumulative Cap|Electricity|Hydrogen"
"Cumulative Cap|Electricity|Coal|w/ CCS"
"Cumulative Cap|Electricity|Coal|w/o CCS"
"Cumulative Cap|Electricity|Biomass|w/ CCS"
"Cumulative Cap|Electricity|Biomass|w/o CCS"
"Cumulative Cap|Electricity|Solar"
"Cumulative Cap|Electricity|Wind|Onshore"
"Cumulative Cap|Electricity|Storage|Battery|For PV"
"Cumulative Cap|Electricity|Storage|Battery|For Wind"
"Cumulative Cap|Hydrogen|Biomass"
"Cumulative Cap|Hydrogen|Electricity"
"Cumulative Cap|Hydrogen|Fossil"
"Cumulative Cap|Hydrogen"
"Cumulative Cap|Hydrogen|Biomass|w/ CCS"
"Cumulative Cap|Hydrogen|Biomass|w/o CCS"
"Cumulative Cap|Hydrogen|Fossil|w/ CCS"
"Cumulative Cap|Hydrogen|Fossil|w/o CCS"
"Cumulative Cap|Liquids"
"Cumulative Cap|Electricity|Storage|Battery"
"Est|Capital Stock|ESM|Transp vehic"
"Est|Capital Stock|ESM|Pet/EV LDV"
"Estimated Capital Stock|ESM"
"Est|LDV Stock"
"Est|EV LDV Stock"
"Est|H2 LDV Stock"
"Est|ICE LDV Stock"
"Est|LDV Sales"
"Est|EV LDV Sales"
"Est|H2 LDV Sales"
"Est|ICE LDV Sales"
"Energy Investments|Elec|Fossil"
"Energy Investments|Elec|Coal"
"Energy Investments|Elec|Coal|w/ CCS"
"Energy Investments|Elec|Coal|w/o CCS"
"Energy Investments|Elec|Gas"
"Energy Investments|Elec|Gas|w/ CCS"
"Energy Investments|Elec|Gas|w/o CCS"
"Energy Investments|Elec|Hydrogen"
"Energy Investments|Elec|Oil"
"Energy Investments|Elec|Oil|w/o CCS"
"Energy Investments|Elec|Biomass"
"Energy Investments|Elec|Biomass|w/ CCS"
"Energy Investments|Elec|Biomass|w/o CCS"
"Energy Investments|Elec|Nuclear"
"Energy Investments|Elec|Solar"
"Energy Investments|Elec|Wind"
"Energy Investments|Elec|Hydro"
"Energy Investments|Elec|Geothermal"
"Energy Investments|Elec|Storage"
"Energy Investments|Elec|Grid"
"Energy Investments|Elec|Non-Fossil"
"Energy Investments|Elec|Non-Bio Re"
"Energy Investments|Hydrogen"
"Energy Investments|Hydrogen|Fossil"
"Energy Investments|Hydrogen|RE"
"Energy Investments|Liquids"
"Energy Investments|Liquids|Oil Ref"
"Energy Investments|Liquids|Fossil|w/ oil"
"Energy Investments|Liquids|Fossil"
"Energy Investments|Liquids|Bio"
"Energy Investments|Electricity"
"Energy Investments|CO2 Trans&Stor"
"Energy Investments|Demand"
"Energy Investments|Supply"
"Energy Investments|Solids"
"Energy Investments|Gases"
"Energy Investments|Heat"
"Energy Investments|Other"
"Emi|CO2"
"Emi|CO2|Carbon Capture and Storage"
"Emi|CO2|Carbon Capture and Storage|Biomass"
"Emi|CO2|Carbon Capture and Storage|Fossil|Pe2Se"
"Emi|CO2|Electricity Production|w/o couple prod"
"Emi|CO2|Hydrogen Production|w/o couple prod"
"Emi|CO2|Heat Production|w/o couple prod"
"Emi|CO2|Fossil Fuels and Industry"
"Emi|CO2|Fossil Fuels and Industry|Cement process"
"Emi|CO2|Fossil Fuels and Industry|Oil|Before IndustryCCS"
"Emi|CO2|Fossil Fuels and Industry|Gas|Before IndustryCCS"
"Emi|CO2|Fossil Fuels and Industry|Coal|Before IndustryCCS"
"Emi|CO2|Fossil Fuels and Industry|Demand|Before IndustryCCS"
"Emi|CO2|Gross Fossil Fuels and Industry"
"Emi|CO2|Land-Use Change"
"Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Electricity|w/ couple prod"
"Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Liquids|w/ couple prod"
"Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Hydrogen|w/ couple prod"
"Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Heat|w/ couple prod"
"Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Gases|w/ couple prod"
"Emi|CO2|Energy|Supply|Electricity|w/ couple prod"
"Emi|CO2|Energy|Supply|Heat|w/ couple prod"
"Emi|CO2|Energy|Supply|Hydrogen|w/ couple prod"
"Emi|CO2|Energy|SupplyandDemand|Liquids|w/ couple prod|Before IndustryCCS"
"Emi|CO2|Energy|SupplyandDemand|Gases|w/ couple prod|Before IndustryCCS"
"Emi|CO2|Energy|SupplyandDemand|Solids|w/ couple prod|Before IndustryCCS"
"Emi|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|fedie"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|feels"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|feelt"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|fegas"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|feh2s"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|feh2t"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|fehes"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|fehos"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|fepet"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|fesos"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS|Process"
"Emi|CO2|Carbon Capture and Storage|IndustryCCS"
"Emi|CO2|Fossil Fuels and Industry|Demand|After IndustryCCS"
"Emi|CO2|Fossil Fuels and Industry|Energy Supply"
"Emi|CO2|FFaI|Emi to which CO2tax is applied"
"Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry"
"Emi|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry"
"Emi|CO2|Energy|Demand|Gases|Before IndustryCCS"
"Emi|CO2|Energy|Demand|Liquids|Before IndustryCCS"
"Emi|CO2|Energy|Demand|Solids|Before IndustryCCS"
"Emi|CO2|Energy|Demand|Gases|After IndustryCCS"
"Emi|CO2|Energy|Demand|Liquids|After IndustryCCS"
"Emi|CO2|Energy|Demand|Solids|After IndustryCCS"
"Emi|CO2|Energy|Supply|Gases|w/ couple prod|Before IndustryCCS"
"Emi|CO2|Energy|Supply|Liquids|w/ couple prod|Before IndustryCCS"
"Emi|CO2|Energy|Supply|Solids|w/ couple prod|Before IndustryCCS"
"Emi|CO2|Other Sector|Direct and Indirect|w/o couple prod"
"Emi|CO2|Other Sector|Direct and Indirect|w/ couple prod"
"Emi|CO2|Other Sector|Direct"
"Emi|CO2|Transport|w/o couple prod"
"Emi|CO2|Transport|w/ couple prod"
"Emi|CO2|Transport|Demand"
"Emi|CO2|Transport|Pass|Road|LDV"
"Emi|CO2|Transport|Pass|Road|LDV|Demand"
"Emi|CO2|Transport|Pass|Road|LDV|Electricity"
"Emi|CO2|Transport|Pass|Road|LDV|Hydrogen"
"Emi|CO2|Energy|Supply|Electricity"
"Emi|CO2|Transport"
"Emi|CO2|Other Sector|Direct and Indirect"
"Emi|CO2|Fossil Fuels and Industry|Demand"
"Emi|CO2|Energy"
"Emi|CO2|Industry|Direct"
"Emi|CO2|Buildings|Direct and Indirect"
"Emi|CO2|Buildings|Direct"
"Emi|CO2|Industry|Direct and Indirect"
"Emi|CO2|Industry|Direct|FromGamsCalculation"
"Emi|CO2|Transport|Indirect"
"Emi|CO2|Carbon Capture and Storage|Cumulated"
"Emi|CO2|Carbon Capture and Storage|Biomass|Cumulated"
"Emi|CO2|Cumulated"
"Emi|CO2|Electricity Production|Cumulated"
"Emi|CO2|Fossil Fuels and Industry|Cumulated"
"Emi|CO2|Gross Fossil Fuels and Industry|Cumulated"
"Emi|CO2|Land-Use Change|Cumulated"
"Emi|CO2|Other Sector|Cumulated"
"Emi|CO2|Transport|Cumulated"
"Emi|C2F6"
"Emi|C6F14"
"Emi|CF4"
"Emi|F-Gases"
"Emi|HFC"
"Emi|HFC|HFC125"
"Emi|HFC|HFC134a"
"Emi|HFC|HFC143a"
"Emi|HFC|HFC227ea"
"Emi|HFC|HFC23"
"Emi|HFC|HFC245fa"
"Emi|HFC|HFC32"
"Emi|HFC|HFC43-10"
"Emi|PFC"
"Emi|SF6"
"Emi|CH4"
"Emi|CH4|Cumulated"
"Emi|CH4|Energy Demand|ResCom"
"Emi|CH4|Energy Supply"
"Emi|CH4|Energy Supply and Demand"
"Emi|CH4|Fossil Fuels and Industry"
"Emi|CH4|Land Use"
"Emi|CH4|Other"
"Emi|CH4|Waste"
"Emi|N2O"
"Emi|N2O|Cumulated"
