"x"
"Emissions.GHG.energy.demand.industry.Food Processing, Beverages and Tobacco"
"Emissions.GHG.energy.demand.industry.Non-metallic minerals"
"Emissions.GHG.energy.demand.industry.Other Manufacturing Industries and Constructions"
"Emissions.GHG.energy.demand.Transport.Other"
"Emissions.GHG.energy.demand.Transport.Domestic Aviation"
"Emissions.GHG.energy.demand.Transport.Road Transportation"
"Emissions.GHG.energy.demand.Transport.Railways"
"Emissions.GHG.energy.demand.Transport.Domestic Navigation"
"Emissions.GHG.energy.demand.Transport.Other Transportation"
"Emissions.GHG.energy.demand.Residential and Commercial.Commercial/Institutional"
"Emissions.GHG.energy.demand.Residential and Commercial.Residential"
"Emissions.GHG.energy.demand.AFOFI"
"Emissions.GHG.energy.demand.other sectors"
"Emissions.GHG.energy.demand.other"
"Emissions.GHG.Industrial Processes"
"Emissions.GHG.AFOLU.Agriculture"
"Emissions.GHG.other.Waste and Others"
"Emissions.GHG.other.Indirect CO2"
"Emissions.GHG.other.International aviation"
"Emissions.GHG.other.International maritime transport"
"EnergyBranchConsumption.other"
"EnergyBranchConsumption.seso"
"EnergyBranchConsumption.seliq"
"EnergyBranchConsumption.sega"
"EnergyBranchConsumption.renewables"
"EnergyBranchConsumption.seel"
"EnergyBranchConsumption.sehe"
"FinalEnergy.Non-Energy Use"
"FinalEnergy.by_fuel.other"
"FinalEnergy.by_fuel.seso"
"FinalEnergy.by_fuel.seliq"
"FinalEnergy.by_fuel.sega"
"FinalEnergy.by_fuel.seel.renewables"
"FinalEnergy.by_fuel.seel.pebio"
"FinalEnergy.by_fuel.seel.pesolar"
"FinalEnergy.by_fuel.seel.pegeo"
"FinalEnergy.by_fuel.seel.other"
"FinalEnergy.by_fuel.sehe"
"FinalEnergy.by_fuel.seel.waste"
"FinalEnergy.by_sector.industry.other"
"FinalEnergy.by_sector.industry.Iron and Steel"
"FinalEnergy.by_sector.industry.Non-Ferrous Metals"
"FinalEnergy.by_sector.industry.Chemical and Petrochemical"
"FinalEnergy.by_sector.industry.Non-Metallic Minerals"
"FinalEnergy.by_sector.industry.Mining and Quarrying"
"FinalEnergy.by_sector.industry.Food and Tobacco"
"FinalEnergy.by_sector.industry.Textile and Leather"
"FinalEnergy.by_sector.industry.Paper, Pulp and Print"
"FinalEnergy.by_sector.industry.Transport Equipment"
"FinalEnergy.by_sector.industry.Machinery"
"FinalEnergy.by_sector.industry.Wood and Wood Products"
"FinalEnergy.by_sector.industry.Construction"
"FinalEnergy.by_sector.industry.Non-Specified (Industry)"
"FinalEnergy.by_sector.transport.other"
"FinalEnergy.by_sector.transport.Rail"
"FinalEnergy.by_sector.transport.Road"
"FinalEnergy.by_sector.transport.Domestic Aviation"
"FinalEnergy.by_sector.transport.International Aviation"
"FinalEnergy.by_sector.transport.Domestic Navigation"
"FinalEnergy.by_sector.transport.Consumption in Pipeline Transport"
"FinalEnergy.by_sector.transport.Transport Non-Specified"
"FinalEnergy.by_sector.residential"
"FinalEnergy.by_sector.services"
"FinalEnergy.by_sector.agriculture"
"FinalEnergy.by_sector.other"
"GDP.[Mrd EUR at 2010 exchange rates]"
"GDP.market prices [Mrd EUR at current prices]"
"Heat.Generation.sehe.seso"
"Heat.Generation.sehe.seliq"
"Heat.Generation.sehe.sega"
"Heat.Generation.sehe.seel.peur"
"Heat.Generation.sehe.seel.renewables"
"Heat.Generation.sehe.seel.pebio"
"Heat.Generation.sehe.seel.pegeo"
"Heat.Generation.sehe.seel.pesolar"
"Heat.Generation.sehe.seel.waste"
"Heat.Generation.sehe.other"
"Indicators.Intermitent Energy.capacity"
"Indicators.Intermitent Energy.capacity_share"
"Indicators.Wind.capacity_cumulative"
"Indicators.Wind.capacity_share"
"Indicators.Wind.capacity_growth"
"Indicators.Wind.capacity"
"Indicators.Wind.generation"
"Indicators.Wind.penetration"
"Indicators.Wind.capacityFactor"
"Indicators.Solar.surface"
"Indicators.Solar.capacity_cumulative"
"Indicators.Solar.generation"
"Indicators.Solar.penetration"
"Indicators.Natural Gas.Entities bringing gas into the country - Nr"
"Indicators.Natural Gas.Main Entities bringing gas in the country ( >5% Total) - Nr"
"Indicators.Natural Gas.Cumulative Market Share, Main Entities - %"
"Indicators.Natural Gas.Market Share - Largest Production & Import Company - %"
"Indicators.Natural Gas.Retailers to Final Consumers -Nr"
"Indicators.Natural Gas.Main Retailers (Sales >5% Total) - Nr"
"Indicators.Natural Gas.Cumulative Market Share, Main Retailers - %"
"Indicators.Natural Gas.Market Share, Largest Retailer - %"
"Indicators.Electricity.Producers (Representing 95% Total) - Nr"
"Indicators.Electricity.Main Producers ( >5% Total) - Nr"
"Indicators.Electricity.Cumulative Market Share Generation, Main Entities - %"
"Indicators.Electricity.Cumulative Market Share Capacity, Main Entities - %"
"Indicators.Electricity.Market Share Largest Producer - %"
"Indicators.Electricity.New Capacity in the Year - MW"
"Indicators.Electricity.Retailers to Final Consumers - Nr"
"Indicators.Electricity.Main Retailers (Sales >5% Total) - Nr"
"Indicators.Electricity.Cumulative Market Share, Main Retailers - %"
"Indicators.Energy.Energy Intensity"
"Indicators.Energy.Energy per Capita"
"Indicators.Electricity.Final Electricity per Capita"
"Indicators.Energy.Primary Energy Intensity "
"Indicators.Import.Import Dependency"
"Indicators.Import.Import Dependency.of Solid Fuels"
"Indicators.Import.Import Dependency.of Solid Fuels.of Hard Coal"
"Indicators.Import.Import Dependency.of Petroleum Fuels"
"Indicators.Import.Import Dependency.of Petroleum Fuels.of Crude and NGL"
"Indicators.Import.Import Dependency.of Gases Fuels"
"Indicators.Import.Import Dependency.of Gases Fuels.of Natural Gas"
"Indicators.Consumption.Gross Inland Consumption by product .Solid Fuels"
"Indicators.Consumption.Gross Inland Consumption by product .Petroleum and Products  2"
"Indicators.Consumption.Gross Inland Consumption by product .Gases"
"Indicators.Consumption.Gross Inland Consumption by product .Nuclear"
"Indicators.Consumption.Gross Inland Consumption by product .Renewables"
"Indicators.Consumption.Gross Inland Consumption by product .Waste (Non-Res)"
"Indicators.Electricity.Gross Electricity Generation.Solid Fuels"
"Indicators.Electricity.Gross Electricity Generation.Petroleum and Products  2"
"Indicators.Electricity.Gross Electricity Generation.Gases"
"Indicators.Electricity.Gross Electricity Generation.Nuclear"
"Indicators.Electricity.Gross Electricity Generation.Renewables"
"Indicators.Final Energy.Final Energy by sector.Industry"
"Indicators.Final Energy.Final Energy by sector.Transport"
"Indicators.Final Energy.Final Energy by sector.Households"
"Indicators.Final Energy.Final Energy by sector.Services"
"Indicators.Final Energy.Final Energy by sector.Agriculture and Fishing"
"Indicators.Final Energy.Final Energy by sector.Other"
"Indicators.Electricity.Renewables in Gross Final Energy.Overall RES with Aviation Cap"
"Indicators.Electricity.Renewables in Gross Final Energy.Overall RES with Aviation Cap.RES-H&C - Heating and Cooling"
"Indicators.Electricity.Renewables in Gross Final Energy.Overall RES with Aviation Cap.RES-E - Electricity Generation"
"Indicators.Electricity.Renewables in Gross Final Energy.Overall RES with Aviation Cap.RE-T - Transport"
"Indicators.Emissions.CO2 per Capita"
"Indicators.Emissions.Carbon Intensity"
"Indicators.Emissions.CO2 GDP Intensity"
"Mport.other"
"Mport.seso.other"
"Mport.seso.pecoal"
"Mport.seliq.other"
"Mport.seliq.peoil"
"Mport.sega.other"
"Mport.sega.pegas"
"Mport.seel.renewables"
"Mport.seel.other"
"Mport.sehe"
"Mport.seel.waste"
"NetImports.other"
"NetImports.seso.other"
"NetImports.seso.pecoal"
"NetImports.seliq.other"
"NetImports.seliq.peoil"
"NetImports.sega.other"
"NetImports.sega.pegas"
"NetImports.seel.renewables"
"NetImports.seel.other"
"NetImports.sehe"
"NetImports.seel.waste"
"Population"
"PrimaryEnergy"
"Production.other"
"Production.seso.other"
"Production.seso.pecoal"
"Production.seliq.other"
"Production.seliq.peoil"
"Production.sega.other"
"Production.sega.pegas"
"Production.seel.peur"
"Production.seel.renewables"
"Production.seel.waste"
"Transformation.input.other"
"Transformation.input.seso"
"Transformation.input.seliq"
"Transformation.input.sega"
"Transformation.input.seel.peur"
"Transformation.input.seel.renewables"
"Transformation.input.seel.waste"
"Transformation.input_by_sector.Electricity.other"
"Transformation.input_by_sector.Electricity.seso"
"Transformation.input_by_sector.Electricity.seliq"
"Transformation.input_by_sector.Electricity.sega"
"Transformation.input_by_sector.Electricity.renewables"
"Transformation.input_by_sector.Electricity.waste"
"Transformation.input_by_sector.Electricity.peur"
"Transformation.input_by_sector.District Heating.other"
"Transformation.input_by_sector.District Heating.seso"
"Transformation.input_by_sector.District Heating.seliq"
"Transformation.input_by_sector.District Heating.sega"
"Transformation.input_by_sector.District Heating.renewables"
"Transformation.input_by_sector.District Heating.waste"
"Transformation.input_by_sector.Refineries, Petroleum and sub-products"
"Transformation.input_by_sector.other"
"Transformation.output.other"
"Transformation.output.seso"
"Transformation.output.seliq"
"Transformation.output.sega"
"Transformation.output.seel"
"Transformation.output.sehe"
"Transformation.output_by_sector.Electricity.other"
"Transformation.output_by_sector.Electricity.seel"
"Transformation.output_by_sector.Electricity.sehe"
"Transformation.output_by_sector.Electricity.peur"
"Transformation.output_by_sector.District Heating"
"Transformation.output_by_sector.Refineries, Petroleum and sub-products"
"Transformation.output_by_sector.other"
"Transformation.losses"
"Transport.production.pebio.Biogasoline"
"Transport.production.pebio.Biodiesel"
"Transport.production.pebio.other"
"Transport.consumption.pebio.Biogasoline"
"Transport.consumption.pebio.Biodiesel"
"Transport.consumption.pebio.other"
"Transport.consumption.seliq.other"
"Transport.consumption.seliq.LPG"
"Transport.consumption.seliq.Motor Gasoline"
"Transport.consumption.seliq.Gas/Diesel Oil"
"Transport.consumption.sega.pega"
"Transport.capacity.pebio.Biogasoline"
"Transport.capacity.pebio.Biodiesel"
"Transport.capacity.pebio.other"
"Transport.Share of Biofuels in Transport Fuels.pebio.other"
"Transport.Share of Biofuels in Transport Fuels.pebio.Biogasoline"
"Transport.Share of Biofuels in Transport Fuels.pebio.Biodiesel"
"Xport.other"
"Xport.seso.other"
"Xport.seso.pecoal"
"Xport.seliq.other"
"Xport.seliq.peoil"
"Xport.sega.other"
"Xport.sega.pegas"
"Xport.seel.renewables"
"Xport.seel.other"
"Xport.sehe"
"Xport.seel.waste"
